	Y	N
CHC672	0	1
CHC673	0	1
CHC681	0	1
CHC684	0	1
CHC688	0	1
CHC689	0	1
CHC691	0	1
CHC699	0	1
CHC700	0	1
CHC703	0	1
CHC707	0	1
CHC708	0	1
CHC713	0	1
CHC714	0	1
CHC722	0	1
CHC723	0	1
CHC726	0	1
CHC731	0	1
CHC735	0	1
CHC736	0	1
CHC737	0	1
CHC738	0	1
CHC740	0	1
CHC741	0	1
CHC743	0	1
CHC745	0	1
CHC746	0	1
CHC748	0	1
CHC750	0	1
CHC754	0	1
CHC755	0	1
CHC757	0	1
CHC758	0	1
CHC759	0	1
CHC760	0	1
CHC761	0	1
CHC768	0	1
CHC769	0	1
CHC771	0	1
CHC772	0	1
CHC775	0	1
CHC776	0	1
CHC777	0	1
CHC781	0	1
CHC782	0	1
CHC783	0	1
CHC785	0	1
CHC786	0	1
CHC788	0	1
CHC791	0	1
CHC795	0	1
CHC796	0	1
CHC798	0	1
CHC799	0	1
CHC803	0	1
CHC805	0	1
CHC807	0	1
CHC810	0	1
CHC812	0	1
CHC814	0	1
CHC815	0	1
CHC819	0	1
CHC821	0	1
CHC825	0	1
CHC826	0	1
CHC828	0	1
CHC829	0	1
CHC833	0	1
CHC834	0	1
CHC838	0	1
CHC841	0	1
CHC842	0	1
CHC844	0	1
CHC845	0	1
CHC846	0	1
CHC849	0	1
CHC850	0	1
CHC851	0	1
CHC857	0	1
CHC860	0	1
CHC861	0	1
CHC863	0	1
CHC864	0	1
CHC866	0	1
CHC868	0	1
CHC870	0	1
CHC871	0	1
CHC873	0	1
CHC874	0	1
CHC877	0	1
CHC878	0	1
CHC884	0	1
CHC885	0	1
CHC887	0	1
CHC888	0	1
CHC891	0	1
CHC892	0	1
CHC896	0	1
CHC898	0	1
CHC899	0	1
CHC900	0	1
CHC902	0	1
CHC908	0	1
CHC909	0	1
CHC912	0	1
CHC914	0	1
CHC915	0	1
CHC916	0	1
CHC921	0	1
CHC926	0	1
CHC928	0	1
M10102503	0	1
M10102504	0	1
M10102603	0	1
M10102605	0	1
M10110101	0	1
M10110103	0	1
M10110402	0	1
M10110501	0	1
M10110502	0	1
M10110503	0	1
M10110801	0	1
M10110802	0	1
M10110804	0	1
M10110805	0	1
M10110902	0	1
M10110903	0	1
M10110904	0	1
M10111001	0	1
M10111002	0	1
M10111005	0	1
M10111101	0	1
M10111102	0	1
M10111201	0	1
M10111501	0	1
M10111502	0	1
M10111503	0	1
M10111504	0	1
M10111603	0	1
M10111605	0	1
M10111606	0	1
M10111701	0	1
M10111702	0	1
M10111703	0	1
M10111704	0	1
M10111705	0	1
M10111801	0	1
M10111802	0	1
M10111803	0	1
M10111902	0	1
M10112201	0	1
M10112203	0	1
M10112204	0	1
M10112205	0	1
M10112206	0	1
M10112402	0	1
M10112501	0	1
M10112502	0	1
M10112503	0	1
M10112601	0	1
M10112901	0	1
M10112902	0	1
M10120101	0	1
M10120102	0	1
M10120103	0	1
M10120104	0	1
M10120105	0	1
M10120202	0	1
M10120203	0	1
M10120302	0	1
M10120305	0	1
M10120602	0	1
M10120604	0	1
M10120605	0	1
M10120701	0	1
M10120702	0	1
M10120802	0	1
M10120901	0	1
M10120902	0	1
M10120903	0	1
M10120904	0	1
M10121001	0	1
M10121003	0	1
M10121301	0	1
M10121302	0	1
M10121303	0	1
M10121304	0	1
M10121305	0	1
M10121401	0	1
M10121402	0	1
M10121502	0	1
M10121503	0	1
M10121504	0	1
M10121601	0	1
M10121602	0	1
M10121603	0	1
M10121701	0	1
M10122001	0	1
M10122002	0	1
M10122102	0	1
M10122103	0	1
M10122201	0	1
M10122202	0	1
M10122203	0	1
M10122401	0	1
M10122403	0	1
M10122404	0	1
M10122405	0	1
M10122702	0	1
M10122703	0	1
M10122704	0	1
M10122705	0	1
M10122706	0	1
M10122801	0	1
M10122802	0	1
M10122803	0	1
M10122804	0	1
M10122805	0	1
M10122806	0	1
M11010401	0	1
M11010402	0	1
M11010403	0	1
M11010502	0	1
M11010503	0	1
M11010505	0	1
M11010506	0	1
M11010507	0	1
M11010603	0	1
M11010701	0	1
M11010703	0	1
M11010704	0	1
M11010705	0	1
M11011101	0	1
M11011102	0	1
M11011103	0	1
M11011104	0	1
M11011203	0	1
M11011402	0	1
M11011403	0	1
M11011405	0	1
M11011406	0	1
M11011407	0	1
M11011409	0	1
M11011801	0	1
M11011802	0	1
M11011901	0	1
M11011902	0	1
M11012001	0	1
M11012101	0	1
M11012103	0	1
M11012104	0	1
M11012401	0	1
M11012403	0	1
M11012502	0	1
M11012503	0	1
M11012701	0	1
M11012802	0	1
M11013101	0	1
M11013102	0	1
M11013104	0	1
M11013105	0	1
M11013108	0	1
M11020101	0	1
M11020102	0	1
M11020201	0	1
M11020203	0	1
M11020204	0	1
M11020301	0	1
M11020302	0	1
M11020303	0	1
M11020401	0	1
M11020402	0	1
M11020403	0	1
M11020404	0	1
M11020405	0	1
M11020701	0	1
M11020702	0	1
M11020703	0	1
M11020704	0	1
M11020802	0	1
M11020904	0	1
M11021402	0	1
M11021404	0	1
M11021405	0	1
M11021505	0	1
M11021506	0	1
M11021507	0	1
M11021601	0	1
M11021606	0	1
M11021702	0	1
M11021703	0	1
M11021801	0	1
M11021803	0	1
M11022101	0	1
M11022102	0	1
M11022103	0	1
M11022202	0	1
M11022203	0	1
M11022301	0	1
M11022303	0	1
M11022305	0	1
M11022401	0	1
M11022402	0	1
M11022403	0	1
M11022502	0	1
M11022801	0	1
M11022802	0	1
M11022803	0	1
M11022804	0	1
M11022805	0	1
M11030101	0	1
M11030102	0	1
M11030103	0	1
M11030202	0	1
M11030203	0	1
